Countries,Number of Athletes,Number of Medals
United States of America,615,77
People's Republic of China,401,70
ROC,318,53
Great Britain,366,48
Japan,586,40
Australia,470,36
Germany,400,32
Italy,356,30
France,377,25
Netherlands,274,23
Republic of Korea,223,19
Brazil,291,15
New Zealand,202,15
Canada,368,14
Cuba,69,12
Hungary,155,12
Switzerland,115,12
Chinese Taipei,67,11
Ukraine,152,11
Poland,195,10
Spain,324,10
Croatia,57,8
Czech Republic,117,8
Denmark,103,7
Georgia,35,7
Sweden,129,7
Serbia,83,6
Turkey,102,6
Austria,72,5
Indonesia,26,5
Jamaica,60,5
Kenya,78,5
Norway,92,5
Islamic Republic of Iran,66,4
Kazakhstan,92,4
Romania,99,4
Slovenia,51,4
Venezuela,43,4
Armenia,16,3
Azerbaijan,41,3
Belgium,125,3
Colombia,64,3
Dominican Republic,61,3
Ecuador,46,3
Egypt,133,3
Ethiopia,42,3
Greece,75,3
"Hong Kong, China",40,3
India,117,3
Ireland,116,3
Israel,85,3
Kyrgyzstan,16,3
Mexico,155,3
Mongolia,43,3
Portugal,85,3
Slovakia,38,3
South Africa,171,3
Uganda,24,3
Uzbekistan,63,3
Belarus,104,2
Bulgaria,41,2
Estonia,33,2
Fiji,28,2
Kosovo,10,2
Latvia,29,2
Nigeria,59,2
Philippines,18,2
Qatar,14,2
San Marino,4,2
Tunisia,57,2
Argentina,180,1
Bermuda,2,1
Côte d'Ivoire,29,1
Finland,45,1
Ghana,14,1
Jordan,11,1
Kuwait,10,1
Malaysia,29,1
Morocco,48,1
Namibia,11,1
North Macedonia,8,1
Puerto Rico,35,1
Syrian Arab Republic,6,1
Thailand,39,1
Turkmenistan,8,1
