Number of medals,Number of Athletes
4,43
3,63
77,615
11,152
3,24
1,8
6,102
2,57
1,39
1,6
12,115
7,129
10,324
3,171
4,51
3,38
6,83
2,4
4,99
53,318
19,223
2,14
1,35
3,85
10,195
2,18
70,401
5,92
1,8
2,59
15,202
23,274
1,11
1,48
3,43
3,155
1,29
2,29
3,16
1,10
2,10
5,78
4,92
1,11
40,586
5,60
30,356
3,85
4,66
3,116
5,26
3,117
12,155
3,40
3,75
48,366
1,14
32,400
7,35
25,377
1,45
2,28
3,42
2,33
3,133
3,46
3,61
7,103
8,117
12,69
8,57
1,29
3,64
11,67
14,368
2,41
15,291
1,2
3,125
2,104
3,41
5,72
36,470
3,16
1,180
