Number of medals,Count of Discipline/Sport
4,10
3,2
77,28
11,4
3,2
1,1
6,1
2,1
1,1
1,1
12,3
7,3
10,28
3,12
4,3
3,1
6,5
2,2
4,2
53,12
19,7
2,1
1,3
3,1
10,3
2,1
70,12
5,3
1,9
2,1
15,8
23,10
1,1
1,1
3,2
3,8
1,1
2,1
3,2
1,1
2,1
5,5
4,2
1,1
40,35
5,4
30,14
3,2
4,2
3,3
5,4
3,5
12,4
3,2
3,6
48,7
1,1
32,9
7,4
25,10
1,1
2,2
3,2
2,1
3,12
3,2
3,6
7,2
8,2
12,4
8,1
1,5
3,2
11,4
14,16
2,1
15,7
1,1
3,5
2,1
3,2
5,3
36,22
3,2
1,1
