Number of medals,Number of Teams 
4,1
3,1
77,47
11,10
3,24
1,8
6,4
2,3
1,39
1,6
12,12
7,6
10,20
3,12
4,2
3,1
6,6
2,4
4,4
53,34
19,19
2,1
1,1
3,2
10,21
2,18
70,33
5,3
1,8
2,4
15,13
23,27
1,11
1,1
3,2
3,9
1,1
2,2
3,3
1,16
2,10
5,10
4,4
1,3
40,48
5,5
30,37
3,5
4,3
3,6
5,2
3,7
12,14
3,9
3,6
48,28
1,1
32,36
7,35
25,33
1,45
2,2
3,42
2,1
3,12
3,1
3,3
7,8
8,5
12,3
8,2
1,1
3,3
11,7
14,30
2,1
15,25
1,2
3,10
2,7
3,1
5,5
36,35
3,16
1,10
