Countries,Number of medals,Number of Athletes,Count of Discipline/Sport
Venezuela,4,43,10
Uzbekistan,3,63,2
United States of America,77,615,28
Ukraine,11,152,4
Uganda,3,24,2
Turkmenistan,1,8,1
Turkey,6,102,1
Tunisia,2,57,1
Thailand,1,39,1
Syrian Arab Republic,1,6,1
Switzerland,12,115,3
Sweden,7,129,3
Spain,10,324,28
South Africa,3,171,12
Slovenia,4,51,3
Slovakia,3,38,1
Serbia,6,83,5
San Marino,2,4,2
Romania,4,99,2
ROC,53,318,12
Republic of Korea,19,223,7
Qatar,2,14,1
Puerto Rico,1,35,3
Portugal,3,85,1
Poland,10,195,3
Philippines,2,18,1
People's Republic of China,70,401,12
Norway,5,92,3
North Macedonia,1,8,9
Nigeria,2,59,1
New Zealand,15,202,8
Netherlands,23,274,10
Namibia,1,11,1
Morocco,1,48,1
Mongolia,3,43,2
Mexico,3,155,8
Malaysia,1,29,1
Latvia,2,29,1
Kyrgyzstan,3,16,2
Kuwait,1,10,1
Kosovo,2,10,1
Kenya,5,78,5
Kazakhstan,4,92,2
Jordan,1,11,1
Japan,40,586,35
Jamaica,5,60,4
Italy,30,356,14
Israel,3,85,2
Islamic Republic of Iran,4,66,2
Ireland,3,116,3
Indonesia,5,26,4
India,3,117,5
Hungary,12,155,4
"Hong Kong, China",3,40,2
Greece,3,75,6
Great Britain,48,366,7
Ghana,1,14,1
Germany,32,400,9
Georgia,7,35,4
France,25,377,10
Finland,1,45,1
Fiji,2,28,2
Ethiopia,3,42,2
Estonia,2,33,1
Egypt,3,133,12
Ecuador,3,46,2
Dominican Republic,3,61,6
Denmark,7,103,2
Czech Republic,8,117,2
Cuba,12,69,4
Croatia,8,57,1
Côte d'Ivoire,1,29,5
Colombia,3,64,2
Chinese Taipei,11,67,4
Canada,14,368,16
Bulgaria,2,41,1
Brazil,15,291,7
Bermuda,1,2,1
Belgium,3,125,5
Belarus,2,104,1
Azerbaijan,3,41,2
Austria,5,72,3
Australia,36,470,22
Armenia,3,16,2
Argentina,1,180,1
